"Unidade";"Serie";"Turno";"Turma";"Capacidade";"Matriculados";"Vagas";"Excedidos";"Excedentes";"Intencoes";"Totais_Intencoes";"Totais_Excedentes"
"EMEII JOSÉ AUGUSTO VIEIRA RANIERI - DUDU RANIERI";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"10";"10";"0";"0";"2";"2";"8";"17"
"EMEII JOSÉ AUGUSTO VIEIRA RANIERI - DUDU RANIERI";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"14";"15";"0";"1";"6";"4";"8";"17"
"EMEII JOSÉ AUGUSTO VIEIRA RANIERI - DUDU RANIERI";"Infantil – III";"Integral (Infantil)";"Inf. IIIB";"8";"9";"0";"1";"6";"4";"8";"17"
"EMEII JOSÉ TOLEDO FILHO";"Infantil – I";"Integral (Infantil)";"Inf. IA";"21";"21";"0";"0";"1";"1";"3";"6"
"EMEII JOSÉ TOLEDO FILHO";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"15";"0";"0";"5";"2";"3";"6"
"EMEII JOSÉ TOLEDO FILHO";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"15";"15";"0";"0";"5";"2";"3";"6"
"EMEII LÍLIAN APARECIDA PASSONI HADAD";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"15";"0";"0";"3";"0";"0";"3"
"EMEII LÍLIAN APARECIDA PASSONI HADAD";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"11";"11";"0";"0";"3";"0";"0";"3"
"EMEII LUZIA MARIA DAIBEM FERRAZ DE ARRUDA";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"22";"0";"2";"3";"2";"4";"10"
"EMEII LUZIA MARIA DAIBEM FERRAZ DE ARRUDA";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"15";"0";"0";"7";"2";"4";"10"
"EMEII LUZIA MARIA DAIBEM FERRAZ DE ARRUDA";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"15";"15";"0";"0";"7";"2";"4";"10"
"EMEII LUZIA THEREZINHA DE OLIVEIRA BRAGA";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"20";"0";"0";"4";"0";"4";"12"
"EMEII LUZIA THEREZINHA DE OLIVEIRA BRAGA";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"15";"0";"0";"6";"3";"4";"12"
"EMEII LUZIA THEREZINHA DE OLIVEIRA BRAGA";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"8";"7";"1";"0";"6";"3";"4";"12"
"EMEII LUZIA THEREZINHA DE OLIVEIRA BRAGA";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"20";"20";"0";"0";"1";"1";"4";"12"
"EMEII LUZIA THEREZINHA DE OLIVEIRA BRAGA";"Infantil – III";"Integral (Infantil)";"Inf. IIIB";"12";"11";"1";"0";"1";"1";"4";"12"
"EMEII LUZIA THEREZINHA DE OLIVEIRA BRAGA";"Infantil – III";"Tarde (Infantil)";"Inf. IIIC";"18";"18";"0";"0";"1";"0";"4";"12"
"EMEII MADRE TEREZA DE CALCUTÁ";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"20";"0";"0";"2";"2";"6";"11"
"EMEII MADRE TEREZA DE CALCUTÁ";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"14";"1";"0";"3";"2";"6";"11"
"EMEII MADRE TEREZA DE CALCUTÁ";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"15";"15";"0";"0";"3";"2";"6";"11"
"EMEII MADRE TEREZA DE CALCUTÁ";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"20";"23";"0";"3";"6";"2";"6";"11"
"EMEII MADRE TEREZA DE CALCUTÁ";"Infantil – III";"Integral (Infantil)";"Inf. IIIB";"8";"8";"0";"0";"6";"2";"6";"11"
"EMEII MÁRCIA ANDALÓ MENDES DE CARVALHO";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"21";"0";"1";"4";"0";"0";"4"
"EMEII MARIA DE FÁTIMA FIGUEIREDO";"Infantil";"Integral (Infantil)";"Inf.A";"12";"13";"0";"1";"1";"1";"2";"4"
"EMEII MARIA DE FÁTIMA FIGUEIREDO";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"20";"0";"0";"1";"0";"2";"4"
"EMEII MARIA DE FÁTIMA FIGUEIREDO";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"20";"21";"0";"1";"2";"1";"2";"4"
"EMEII MARIA DE FÁTIMA FIGUEIREDO";"Infantil – III";"Integral (Infantil)";"Inf. IIIB";"10";"10";"0";"0";"2";"1";"2";"4"
"EMEII MARIA HELENA PIÇOLATO AMANTINI";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"17";"17";"0";"0";"2";"0";"2";"3"
"EMEII MARIA HELENA PIÇOLATO AMANTINI";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"5";"6";"0";"1";"2";"0";"2";"3"
"EMEII MARIA HELENA PIÇOLATO AMANTINI";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"15";"17";"0";"2";"1";"2";"2";"3"
"EMEII MÔNICA CRISTINA CARVALHO";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"21";"0";"1";"2";"0";"6";"5"
"EMEII MÔNICA CRISTINA CARVALHO";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"14";"1";"0";"2";"2";"6";"5"
"EMEII MÔNICA CRISTINA CARVALHO";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"5";"6";"0";"1";"2";"2";"6";"5"
"EMEII MÔNICA CRISTINA CARVALHO";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"13";"14";"0";"1";"1";"4";"6";"5"
"EMEII MÔNICA CRISTINA CARVALHO";"Infantil – III";"Integral (Infantil)";"Inf. IIIB";"10";"11";"0";"1";"1";"4";"6";"5"
"EMEII OLGA BICUDO TOGNOZZI";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"20";"0";"0";"6";"0";"1";"18"
"EMEII OLGA BICUDO TOGNOZZI";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"15";"0";"0";"12";"1";"1";"18"
"EMEII OLGA BICUDO TOGNOZZI";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"7";"8";"0";"1";"12";"1";"1";"18"
"EMEII PROF. HUBERT RADEMAKERS";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"18";"18";"0";"0";"1";"1";"1";"1"
"EMEII PROFª MARIA DE LOURDES MARTINS SEGALLA";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"15";"15";"0";"0";"1";"0";"0";"1"
"EMEII PROFª MARIA DE LOURDES MARTINS SEGALLA";"Infantil – II";"Integral (Infantil)";"Inf. IIB";"15";"15";"0";"0";"1";"0";"0";"1"
"EMEII VALERIA DALVA DE AGOSTINHO";"Infantil – I";"Integral (Infantil)";"Inf. IA";"20";"23";"0";"3";"5";"0";"0";"5"
"EMEII VENÂNCIO RAMALHO GUEDES DE AZEVEDO";"Infantil – I";"Integral (Infantil)";"Inf. IA";"10";"10";"0";"0";"5";"3";"4";"9"
"EMEII VENÂNCIO RAMALHO GUEDES DE AZEVEDO";"Infantil – II";"Integral (Infantil)";"Inf. IIA";"10";"10";"0";"0";"3";"0";"4";"9"
"EMEII VENÂNCIO RAMALHO GUEDES DE AZEVEDO";"Infantil – III";"Integral (Infantil)";"Inf. IIIA";"15";"17";"0";"2";"1";"1";"4";"9"
"EMEII WILSON MONTEIRO BONATO";"Infantil";"Integral (Infantil)";"Inf.A";"12";"5";"7";"0";"1";"0";"0";"1"
